userID,itemID,prediction,Snack_Name
1,7,5.6547327,Grass jelly
1,475,5.286865,Gulha
1,408,5.246353,Cracker nuts
1,919,5.1832395,Candy
1,127,5.0850673,Doughnut
1,1,4.928405,Cracker nuts
1,89,4.87602,Cracker nuts
1,204,4.8674283,Cracker nuts
1,210,4.856358,Doughnut
1,423,4.817785,Gulha
2,300,10.020027,Bonda
2,748,8.458184,Cracker nuts
2,690,8.385288,Doughnut
2,15,8.312751,Gulha
2,321,8.225187,Grass jelly
2,750,8.010505,Cokodok
2,9,8.000822,Pancakes
2,328,7.839037,Fudge
2,302,7.8352933,Cookie
2,319,7.5973873,Cracker nuts
3,327,9.395882,Fudge
3,268,9.119898,Waffle
3,332,8.801955,Bitterballen
3,748,8.78196,Gulha
3,286,8.692392,Doughnut
3,313,8.6045685,Cookie
3,682,8.414358,Bitterballen
3,271,8.350371,Grass jelly
3,879,8.227012,Cokodok
3,678,8.202438,Panforte
4,302,8.0473175,Grass jelly
4,333,7.3836474,Cracker nuts
4,288,7.3774343,Cokodok
4,307,7.2293696,Doughnut
4,347,7.001651,Panforte
4,313,6.9722505,Fudge
4,268,6.941358,Cracker nuts
4,331,6.928297,Cokodok
4,748,6.7847853,Bonda
4,245,6.7533717,Bonda
5,559,6.24282,
5,217,6.1314473,
5,444,6.0747633,
5,219,5.9026947,
5,588,5.8064985,
5,71,5.748952,
5,82,5.605377,
5,625,5.596149,
5,441,5.571927,
5,946,5.509257,
6,127,8.83908,
6,181,8.539773,
6,100,7.566066,
6,357,7.4495926,
6,174,7.4123116,
6,603,7.3898153,
6,286,7.3854165,
6,14,7.3297844,
6,705,7.2909684,
6,172,7.1713715,
7,98,6.7135396,
7,174,6.266258,
7,132,5.926823,
7,195,5.5204606,
7,218,5.407409,
7,180,5.3979297,
7,423,5.3572454,
7,172,5.356521,
7,434,5.3151574,
7,498,5.309566,
8,300,8.343774,
8,271,8.061913,
8,748,7.9831896,
8,210,7.5982714,
8,161,7.444373,
8,751,7.3462334,
8,879,7.319386,
8,678,7.3089366,
8,62,7.3059535,
8,265,7.2573934,
9,288,6.265769,
9,100,6.112469,
9,127,5.9312987,
